thetas version times mems
250 0.2.5 1336.99 36896
250 0.2.5 1330.34 37424
250 0.2.5 1359.53 36848
250 0.2.5 1358.61 35344
250 0.2.5 1351.64 36976
250 0.2.5 1323.59 32272
250 0.2.5 1318.7 33664
250 0.2.5 1313.44 36400
250 0.2.5 1338.32 37248
250 0.2.5 1313.1 35472
250 0.2.5 1324.53 34896
250 0.2.5 1340.48 35456
250 0.2.5 1519.19 35024
250 0.2.5 1338.4 35312
250 0.2.5 1538.74 38048
250 0.2.5 1400.75 37504
250 0.2.5 1517.76 32240
250 0.2.5 1495.09 38160
250 0.2.5 1366.3 35728
250 0.2.5 1435.27 33088
250 0.2.5 1318.84 36048
250 0.2.5 1422.76 34048
250 0.2.5 1353.4 37360
250 0.2.5 1541.64 35056
250 0.2.5 1323.45 34112
250 0.2.5 1527.11 35264
250 0.2.5 1381.82 38944
250 0.2.5 1527.48 35840
250 0.2.5 1299.03 32352
250 0.2.5 1525.99 34368
250 0.2.5 1355.43 37024
250 0.2.5 1507.78 33328
250 0.2.5 1313.07 32000
250 0.2.5 1511.48 34432
250 0.2.5 1315.08 36000
250 0.2.5 1433.35 34528
250 0.2.5 1324.22 35632
250 0.2.5 1503.09 34560
250 0.2.5 1502.45 34096
250 0.2.5 1515.42 35120
250 0.2.5 1630.47 39984
250 0.2.5 1486.08 35072
250 0.2.5 1466.43 33680
250 0.2.5 1432.38 34672
250 0.2.5 1521.25 37136
250 0.2.5 1573.48 37168
250 0.2.5 1518.83 34848
250 0.2.5 1422.37 35504
250 0.2.5 1561.21 35680
250 0.2.5 1543.55 34816
250 0.2.5 1500.35 37904
250 0.2.5 1550.33 35168
250 0.2.5 1596.11 38512
250 0.2.5 1434.23 35280
250 0.2.5 1447.69 36224
250 0.2.5 1595.18 36960
250 0.2.5 1527.35 34464
250 0.2.5 1399.81 31696
250 0.2.5 1510.2 32192
250 0.2.5 1534.05 34016
250 0.2.5 1505.65 34704
250 0.2.5 1477.32 33024
250 0.2.5 1531.34 36816
250 0.2.5 1587.99 36176
250 0.2.5 1508.97 38608
250 0.2.5 1524.86 34624
250 0.2.5 1508.37 32688
250 0.2.5 1297.02 33728
250 0.2.5 1521.64 36304
250 0.2.5 1343.48 33872
250 0.2.5 1550.32 37120
250 0.2.5 1331.14 34608
250 0.2.5 1525.25 37392
250 0.2.5 1344.08 31712
250 0.2.5 1530.14 33696
250 0.2.5 1352.98 37072
250 0.2.5 1473.78 35536
250 0.2.5 1360.14 33984
250 0.2.5 1494.52 31328
250 0.2.5 1351.39 35520
250 0.2.5 1556.51 36208
250 0.2.4 4113.56 34080
250 0.2.4 3954.28 33232
250 0.2.4 4443.58 38704
250 0.2.4 4257.47 34736
250 0.2.4 4334.41 36304
250 0.2.4 4209.04 35344
250 0.2.4 4222.68 36368
250 0.2.4 4197.32 35216
250 0.2.4 3993.75 33520
250 0.2.4 4469.23 40224
250 0.2.4 4156.09 35952
250 0.2.4 4182.02 35984
250 0.2.4 4356.68 37728
250 0.2.4 4352.06 35760
250 0.2.4 4476.56 36992
250 0.2.4 4379.61 36112
